scene,view,psnr,ssim,lpips
mic,00036.png,36.826942443847656,0.9929534196853638,0.0064973677508533
mic,00163.png,36.039451599121094,0.9929800629615784,0.00537887355312705
mic,00040.png,36.75222396850586,0.993111789226532,0.0054404460825026035
mic,00066.png,36.04960632324219,0.9932079315185547,0.005505149718374014
mic,00065.png,36.002689361572266,0.9932457208633423,0.005173015408217907
mic,00017.png,36.85777282714844,0.9933030605316162,0.005767804570496082
mic,00023.png,36.819862365722656,0.9933374524116516,0.006474213674664497
mic,00111.png,36.509765625,0.993387758731842,0.0056382277980446815
mic,00126.png,36.76376724243164,0.9934794306755066,0.004741407930850983
mic,00064.png,36.17592239379883,0.993482768535614,0.005204812623560429
mic,00123.png,35.54045486450195,0.993491530418396,0.005188745446503162
mic,00159.png,36.29886245727539,0.9934961199760437,0.004213482607156038
mic,00074.png,36.20566177368164,0.9935373663902283,0.006233805324882269
mic,00035.png,37.348663330078125,0.9935514330863953,0.005720027722418308
mic,00108.png,37.02830123901367,0.9936398267745972,0.005197126418352127
mic,00125.png,35.74527359008789,0.9936816692352295,0.004638756159693003
mic,00142.png,36.88685607910156,0.9937830567359924,0.00431898795068264
mic,00110.png,36.96692657470703,0.9937902688980103,0.005257774144411087
mic,00063.png,36.42403030395508,0.9937963485717773,0.004997169133275747
mic,00109.png,37.03546142578125,0.9938127994537354,0.0049306731671094894
mic,00034.png,37.385047912597656,0.9938160181045532,0.005064281634986401
mic,00143.png,36.81315231323242,0.9938282370567322,0.003971567843109369
mic,00025.png,37.11359405517578,0.9938628077507019,0.005360903684049845
mic,00032.png,37.420379638671875,0.9939234256744385,0.005363353993743658
mic,00075.png,36.90636444091797,0.9939361214637756,0.005685260519385338
mic,00140.png,37.05857849121094,0.9939466118812561,0.004976786207407713
mic,00164.png,36.63365173339844,0.9940112233161926,0.004674743860960007
mic,00016.png,37.6448860168457,0.9940229654312134,0.005494309589266777
mic,00144.png,36.79214096069336,0.9940486550331116,0.0034427684731781483
mic,00170.png,38.18315887451172,0.9941019415855408,0.006118164397776127
mic,00024.png,37.440303802490234,0.9941247701644897,0.005499925930052996
mic,00030.png,37.62900924682617,0.99415123462677,0.005004343576729298
mic,00054.png,36.044071197509766,0.9941700100898743,0.0036017121747136116
mic,00141.png,37.13201904296875,0.9941908121109009,0.004411584697663784
mic,00041.png,37.46671676635742,0.9941965341567993,0.004495972767472267
mic,00158.png,36.84630584716797,0.994206428527832,0.003738442435860634
mic,00033.png,37.64185333251953,0.9942069053649902,0.0046981144696474075
mic,00055.png,36.419715881347656,0.9943162202835083,0.003476761281490326
mic,00145.png,36.94210433959961,0.9943175911903381,0.0033782036043703556
mic,00184.png,37.59690856933594,0.9943253993988037,0.005743830930441618
mic,00031.png,37.74375534057617,0.9943408966064453,0.004798900801688433
mic,00146.png,37.07282638549805,0.9944004416465759,0.003427861724048853
